search URL:,https://patents.google.com/?q=%28%22MRAM%22%29&q=%28%22current+lead%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH&oq=%28%22Semiconductor+inspection+equipment+for+mass+production%22%29+country:US+status:GRANT+language:ENGLISH+type:PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9218864-B1,Magnetoresistive random access memory cell and 3D memory cell array ,"Ge Yi, Dong Li","Ge Yi, Dong Li",2014-10-04,2014-10-04,2015-12-22,2015-12-22,https://patents.google.com/patent/US9218864B1/en,https://patentimages.storage.googleapis.com/7d/3c/a8/e9d6642d88997b/US09218864-20151222-D00001.png
US-10923648-B2,"Memory cell, memory array, method of forming and operating memory cell ","Agency For Science, Technology And Research","Karim Ali Abdeltawwab Ahmed, Sunny Yan Hwee Lua, Fei Li",2017-01-17,2018-01-17,2021-02-16,2021-02-16,https://patents.google.com/patent/US10923648B2/en,https://patentimages.storage.googleapis.com/e6/30/c2/738a8a2fc47f38/US10923648-20210216-D00000.png
US-10326073-B1,Spin hall effect (SHE) assisted three-dimensional spin transfer torque magnetic random access memory (STT-MRAM) ,"Spin Memory, Inc.","Michail TZOUFRAS, Marcin Gajek, Kadriye Deniz Bozdag, Eric Michael Ryan",2017-12-29,2017-12-29,2019-06-18,2019-06-18,https://patents.google.com/patent/US10326073B1/en,https://patentimages.storage.googleapis.com/2c/ae/74/111f38d924f5d3/US10326073-20190618-D00000.png
US-7208933-B2,Time limit function utilization apparatus ,Kabushiki Kaisha Toshiba,"Hiroshi Watanabe, Kazuya Matsuzawa, Riichiro Shirota",2002-07-08,2006-06-29,2007-04-24,2007-04-24,https://patents.google.com/patent/US7208933B2/en,https://patentimages.storage.googleapis.com/e6/f2/32/f395c80febcbfa/US07208933-20070424-D00000.png
US-11456410-B2,Three-dimensional (3D) magnetic memory devices comprising a magnetic tunnel junction (MTJ) having a metallic buffer layer ,"Integrated Silicon Solution, (Cayman) Inc.","Marcin Gajek, Michail TZOUFRAS",2017-12-28,2020-06-04,2022-09-27,2022-09-27,https://patents.google.com/patent/US11456410B2/en,https://patentimages.storage.googleapis.com/8c/4e/18/a3dbb221c80b4e/US11456410-20220927-D00000.png
US-10797233-B2,Methods of fabricating three-dimensional magnetic memory devices ,"Spin Memory, Inc.","Marcin Gajek, Michail TZOUFRAS, Davide Guarisco, Eric Michael Ryan",2017-12-29,2017-12-29,2020-10-06,2020-10-06,https://patents.google.com/patent/US10797233B2/en,https://patentimages.storage.googleapis.com/d0/ed/a9/06625785359a63/US10797233-20201006-D00000.png
US-8823117-B2,Magnetic device fabrication ,"Taiwan Semiconductor Manufacturing Company, Ltd.","Chewn Yu, Tien-Wei Chiang, Kai-Wen Cheng",2011-12-08,2011-12-08,2014-09-02,2014-09-02,https://patents.google.com/patent/US8823117B2/en,https://patentimages.storage.googleapis.com/1d/33/93/a9eb64ed44fdb5/US08823117-20140902-D00000.png
US-7242604-B2,Switchable element ,International Business Machines Corporation,"Mathias Klaeui, Rolf Allenspach, Pierre-Olivier Jubert",2005-01-13,2006-01-11,2007-07-10,2007-07-10,https://patents.google.com/patent/US7242604B2/en,https://patentimages.storage.googleapis.com/08/c2/ac/eba80b6bd89be1/US07242604-20070710-D00000.png
US-7872905-B2,Method and apparatus for write enable and inhibit for high density spin torque three dimensional (3D) memory arrays ,Hitachi Global Storage Technologies Netherlands B.V.,"Sylvia Helena Florez Marino, Liesl Folks, Bruce David Terris",2006-12-19,2008-10-31,2011-01-18,2011-01-18,https://patents.google.com/patent/US7872905B2/en,https://patentimages.storage.googleapis.com/1e/a2/07/0a159759cd5455/US07872905-20110118-D00000.png
US-10580441-B1,Magnetic recording assisted by two spin hall effect (SHE) layers in the write gap ,"Headway Technologies, Inc.","Wenyu Chen, Yan Wu",2019-03-29,2019-03-29,2020-03-03,2020-03-03,https://patents.google.com/patent/US10580441B1/en,https://patentimages.storage.googleapis.com/58/cd/ba/7ef51ff6b22fcc/US10580441-20200303-D00000.png
