search URL:,https://patents.google.com/?q=%28%22magnetic+anisotropy%22%29+%28%22mram%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8497559-B2,MRAM with means of controlling magnetic anisotropy ,"Magic Technologies, Inc.","Tai Min, Po Kang Wang",2007-10-10,2007-10-10,2013-07-30,2013-07-30,https://patents.google.com/patent/US8497559B2/en,https://patentimages.storage.googleapis.com/67/62/7a/ecd80d7ba56832/US08497559-20130730-D00000.png
US-10056430-B1,MRAM with voltage dependent in-plane magnetic anisotropy ,Sandisk Technologies Llc,"Goran Mihajlovic, Jordan Katine",2017-10-25,2017-10-25,2018-08-21,2018-08-21,https://patents.google.com/patent/US10056430B1/en,https://patentimages.storage.googleapis.com/93/e2/7f/c84659a84ba26a/US10056430-20180821-D00000.png
US-10797227-B2,Spin-transfer torque MRAM with a negative magnetic anisotropy assist layer and methods of operating the same ,Sandisk Technologies Llc,"Quang Le, Zhanjie Li, Zhigang Bai, Paul Vanderheijden, Michael Ho",2018-12-06,2018-12-06,2020-10-06,2020-10-06,https://patents.google.com/patent/US10797227B2/en,https://patentimages.storage.googleapis.com/08/91/12/f2b4a36ccf3fdb/US10797227-20201006-D00000.png
US-7099186-B1,Double-decker MRAM cells with scissor-state angled reference layer magnetic anisotropy and method for fabricating ,"Infineon Technologies Ag, Altis Semiconductor",Daniel Braun,2005-02-10,2005-02-10,2006-08-29,2006-08-29,https://patents.google.com/patent/US7099186B1/en,https://patentimages.storage.googleapis.com/00/d3/e4/bb0db695132da2/US07099186-20060829-D00000.png
US-6818961-B1,Oblique deposition to induce magnetic anisotropy for MRAM cells ,"Freescale Semiconductor, Inc.","Nicholas D. Rizzo, Bradley N. Engel, Jason A. Janesky, Jon M. Slaughter, Jijun Sun",2003-06-30,2003-06-30,2004-11-16,2004-11-16,https://patents.google.com/patent/US6818961B1/en,https://patentimages.storage.googleapis.com/32/06/3e/104919e31386bd/US06818961-20041116-D00000.png
US-8184411-B2,MTJ incorporating CoFe/Ni multilayer film with perpendicular magnetic anisotropy for MRAM application ,"Headway Technologies, Inc., Magic Technologies, Inc.","Kunliang Zhang, Min Li, Pokang Wang, Yuchen Zhou, Cheng T. Horng, Ru-Ying Tong",2009-10-26,2009-10-26,2012-05-22,2012-05-22,https://patents.google.com/patent/US8184411B2/en,https://patentimages.storage.googleapis.com/c2/0e/db/07c4bcb233f9d9/US08184411-20120522-D00000.png
US-9159342-B2,Magnetic recording apparatus ,Kabushiki Kaisha Toshiba,"Kiwamu Kudo, Tazumi Nagasawa, Hirofumi Suto, Tao Yang, Koichi Mizushima, Rie Sato",2013-09-18,2014-09-11,2015-10-13,2015-10-13,https://patents.google.com/patent/US9159342B2/en,https://patentimages.storage.googleapis.com/5e/49/06/51d4db88ae3e31/US09159342-20151013-D00000.png
US-10672976-B2,Precessional spin current structure with high in-plane magnetization for MRAM ,"Spin Memory, Inc.","Mustafa Michael Pinarbasi, Bartlomiej Adam KARDASZ",2017-02-28,2017-02-28,2020-06-02,2020-06-02,https://patents.google.com/patent/US10672976B2/en,https://patentimages.storage.googleapis.com/a8/5d/85/bd1f0b4f981c6d/US10672976-20200602-D00000.png
US-7881099-B2,Multibit magnetic random access memory device ,"Samsung Electronics Co., Ltd.",Chee-kheng Lim,2004-05-21,2009-02-02,2011-02-01,2011-02-01,https://patents.google.com/patent/US7881099B2/en,https://patentimages.storage.googleapis.com/5e/ef/a5/e9e3b952b9cd9e/US07881099-20110201-D00000.png
US-10468590-B2,High annealing temperature perpendicular magnetic anisotropy structure for magnetic random access memory ,"Spin Memory, Inc.","Bartlomiej Adam KARDASZ, Mustafa Michael Pinarbasi, Jacob Anthony HERNANDEZ",2015-04-21,2016-04-06,2019-11-05,2019-11-05,https://patents.google.com/patent/US10468590B2/en,https://patentimages.storage.googleapis.com/bc/23/6d/ac5c397383740e/US10468590-20191105-D00000.png
