search URL:,https://patents.google.com/?q=%28%22memristor%22%29&q=%28%22MRAM%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH&oq=%28%22Semiconductor+inspection+equipment+for+mass+production%22%29+country:US+status:GRANT+language:ENGLISH+type:PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11609623-B2,Ultra-low power neuromorphic artificial intelligence computing accelerator ,Qualcomm Incorporated,"Yu Pu, Yang Du",2017-09-01,2018-08-31,2023-03-21,2023-03-21,https://patents.google.com/patent/US11609623B2/en,https://patentimages.storage.googleapis.com/58/98/24/c5c4eeb64f483e/US11609623-20230321-D00000.png
US-8482993-B2,"Apparatus, system, and method for managing data in a solid-state storage device ","Fusion-Io, Inc.","John Strasser, Jonathan Thatcher, Jeremy Fillingim, David Flynn, Lance Smith, Robert Wood, James Peterson",2006-12-06,2012-05-01,2013-07-09,2013-07-09,https://patents.google.com/patent/US8482993B2/en,https://patentimages.storage.googleapis.com/fc/d7/f7/7eefec9649dbd2/US08482993-20130709-D00000.png
US-9653162-B2,System and a method for designing a hybrid memory cell with memristor and complementary metal-oxide semiconductor ,Khalifa University,"Baker Shehadah MOHAMMAD, Dirar Al-Homouz",2012-12-02,2016-03-07,2017-05-16,2017-05-16,https://patents.google.com/patent/US9653162B2/en,https://patentimages.storage.googleapis.com/8b/ac/63/7876e22c760caa/US09653162-20170516-D00000.png
US-10115446-B1,Spin transfer torque MRAM device with error buffer ,"Spin Transfer Technologies, Inc.","Benjamin Stanley LOUIE, Neal Berger",2015-04-21,2016-04-19,2018-10-30,2018-10-30,https://patents.google.com/patent/US10115446B1/en,https://patentimages.storage.googleapis.com/38/9b/cd/f6b4b09082e026/US10115446-20181030-D00000.png
US-8711646-B2,"Architecture, system and method for testing resistive type memory ","Samsung Electronics Co., Ltd.",Adrian E. Ong,2012-05-08,2012-05-08,2014-04-29,2014-04-29,https://patents.google.com/patent/US8711646B2/en,https://patentimages.storage.googleapis.com/53/70/35/bc9fbf9dc5819c/US08711646-20140429-D00000.png
US-10460817-B2,Multiple (multi-) level cell (MLC) non-volatile (NV) memory (NVM) matrix circuits for performing matrix computations with multi-bit input vectors ,Qualcomm Incorporated,"Xia Li, Seung Hyuk Kang, Wei-Chuan Chen",2017-07-13,2017-11-20,2019-10-29,2019-10-29,https://patents.google.com/patent/US10460817B2/en,https://patentimages.storage.googleapis.com/8c/b1/fa/329fdde7138115/US10460817-20191029-D00000.png
US-10482929-B2,Non-volative (NV) memory (NVM) matrix circuits employing NVM matrix circuits for performing matrix computations ,Qualcomm Incorporated,"Xia Li, Bin Yang, Gengming Tao",2017-07-13,2017-11-20,2019-11-19,2019-11-19,https://patents.google.com/patent/US10482929B2/en,https://patentimages.storage.googleapis.com/01/c2/4f/90453f013b1fa4/US10482929-20191119-D00000.png
US-10678315-B2,Thermal monitoring of memory resources ,Intel Corporation,"Rajesh Sundaram, Muthukumar P. Swaminathan, Doyle Rivers",2015-08-27,2018-10-01,2020-06-09,2020-06-09,https://patents.google.com/patent/US10678315B2/en,https://patentimages.storage.googleapis.com/b7/f6/76/5dedfe5c6333c3/US10678315-20200609-D00000.png
US-10163479-B2,Method and apparatus for bipolar memory write-verify ,"Spin Transfer Technologies, Inc.","Neal Berger, Ben Louie, Mourad El-Baraji",2015-08-14,2016-06-06,2018-12-25,2018-12-25,https://patents.google.com/patent/US10163479B2/en,https://patentimages.storage.googleapis.com/d6/f5/4c/be7c791eee157d/US10163479-20181225-D00000.png
US-11036531-B2,Techniques to migrate a virtual machine using disaggregated computing resources ,Intel Corporation,"Patrick Connor, James R. Hearn, Scott P. Dubal, Andrew J. Herdrich, Kapil Sood",2017-06-27,2017-06-27,2021-06-15,2021-06-15,https://patents.google.com/patent/US11036531B2/en,https://patentimages.storage.googleapis.com/cc/b0/b6/74f806c77bcd0a/US11036531-20210615-D00000.png
