search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10063077-B2,System architecture for battery charger ,The Boeing Company,"Eugene V. Solodovnik, Kamiar J. Karimi",2016-03-28,2016-03-28,2018-08-28,2018-08-28,https://patents.google.com/patent/US10063077B2/en,https://patentimages.storage.googleapis.com/60/f7/e1/cfb0dde4cad700/US10063077-20180828-D00000.png
US-9887203-B2,3D semiconductor device and structure ,Monolithic 3D Inc.,"Zvi Or-Bach, Zeev Wurman",2009-04-14,2016-07-28,2018-02-06,2018-02-06,https://patents.google.com/patent/US9887203B2/en,https://patentimages.storage.googleapis.com/94/bb/33/b292a91b54cfdc/US09887203-20180206-D00000.png
US-8492886-B2,3D integrated circuit with logic ,Monolithic 3D Inc,"Zvi Or-Bach, Ze'ev Wurman",2010-02-16,2010-11-22,2013-07-23,2013-07-23,https://patents.google.com/patent/US8492886B2/en,https://patentimages.storage.googleapis.com/af/54/c1/c8309b87a6b37e/US08492886-20130723-D00000.png
US-9142553-B2,Semiconductor device and structure ,Monolithic 3D Inc.,"Zvi Or-Bach, Zeev Wurman",2013-03-12,2015-02-21,2015-09-22,2015-09-22,https://patents.google.com/patent/US9142553B2/en,https://patentimages.storage.googleapis.com/b0/92/44/2d924f3dc90c96/US09142553-20150922-D00000.png
US-9691760-B2,Semiconductor device and structure ,Monolithic 3D Inc,"Zvi Or-Bach, Zeev Wurman",2013-03-12,2016-04-01,2017-06-27,2017-06-27,https://patents.google.com/patent/US9691760B2/en,https://patentimages.storage.googleapis.com/d4/56/8b/8478751cf361a8/US09691760-20170627-D00000.png
US-10679829-B1,Reactors and methods for making diamond coatings ,"Nano-Product Engineering, LLC",Vladimir Gorokhovsky,2011-09-07,2017-08-17,2020-06-09,2020-06-09,https://patents.google.com/patent/US10679829B1/en,https://patentimages.storage.googleapis.com/dd/34/ee/e94cb6ab0e2de7/US10679829-20200609-D00000.png
US-11298771-B2,DSC-based all-digital SiC inversion type multi-function argon arc welding power supply ,South China University Of Technology,"Zhenmin Wang, Wenyan Fan, Chun Jiang, Qian Wang",2016-08-15,2018-07-31,2022-04-12,2022-04-12,https://patents.google.com/patent/US11298771B2/en,https://patentimages.storage.googleapis.com/a0/9f/a3/3b8dc655e99410/US11298771-20220412-D00000.png
US-9912220-B2,Protection from hard commutation events at power switches ,Infineon Technologies Austria Ag,Gerald Deboy,2015-01-19,2017-06-13,2018-03-06,2018-03-06,https://patents.google.com/patent/US9912220B2/en,https://patentimages.storage.googleapis.com/8a/0c/7e/2064fe07204afb/US09912220-20180306-D00000.png
US-11174021-B2,Persistent aerial reconnaissance and communication system ,"Flir Detection, Inc.","Bretton E. Anderson, Felipe Bohorquez, Misha Filippov, Helen Greiner, Jason Jeffords, Sam Johnson, Kevin Michael Mcclure, Kim Salazar, Kenneth D. SEBESTA, Andrew M. Shein, Perry Stoll, Chikyung Won, Alexey Zaparovanny",2016-03-24,2017-03-24,2021-11-16,2021-11-16,https://patents.google.com/patent/US11174021B2/en,https://patentimages.storage.googleapis.com/67/68/1e/abd1f06551a3f9/US11174021-20211116-D00000.png
US-7259106-B2,Method of making a microelectronic and/or optoelectronic circuitry sheet ,Versatilis Llc,Ajaykumar R. Jain,2004-09-10,2005-09-09,2007-08-21,2007-08-21,https://patents.google.com/patent/US7259106B2/en,https://patentimages.storage.googleapis.com/bf/e2/0c/7e17a19950386d/US07259106-20070821-D00000.png
US-11485083-B2,Preheating of material in an additive manufacturing apparatus ,"Csir, Aerosud Innovation Centre (Pty) Ltd","Marius VERMEULEN, Dieter Rainer PREUSSLER",2016-12-18,2017-12-15,2022-11-01,2022-11-01,https://patents.google.com/patent/US11485083B2/en,https://patentimages.storage.googleapis.com/18/de/7f/59da0b437ba0aa/US11485083-20221101-D00000.png
US-11248709-B2,Fast blind plate switching device ,"Beijing Aerospace Propulsion Institute, Beijing Aerospace Petrochemical Technology & Equipment Engineering Corporation Limited","Yang Gao, Shuai Wu, Lei Liu, Limin Dai, Xuebin Wang, Xiangyu CHEN, Shuai Li",2018-10-11,2019-01-28,2022-02-15,2022-02-15,https://patents.google.com/patent/US11248709B2/en,https://patentimages.storage.googleapis.com/6a/8f/05/8d41274d645056/US11248709-20220215-D00000.png
US-9577642-B2,Method to form a 3D semiconductor device ,Monolithic 3D Inc.,"Zvi Or-Bach, Ze'ev Wurman",2009-04-14,2010-11-07,2017-02-21,2017-02-21,https://patents.google.com/patent/US9577642B2/en,https://patentimages.storage.googleapis.com/d1/12/d7/0dd14f289261b1/US09577642-20170221-D00000.png
US-8258810-B2,3D semiconductor device ,Monolithic 3D Inc.,"Zvi Or-Bach, Ze'ev Wurman",2010-09-30,2010-09-30,2012-09-04,2012-09-04,https://patents.google.com/patent/US8258810B2/en,https://patentimages.storage.googleapis.com/d7/da/1b/230562f7f5024e/US08258810-20120904-D00000.png
US-9509313-B2,3D semiconductor device ,Monolithic 3D Inc.,"Zvi Or-Bach, Zeev Wurman",2009-04-14,2011-03-06,2016-11-29,2016-11-29,https://patents.google.com/patent/US9509313B2/en,https://patentimages.storage.googleapis.com/d2/ae/d2/9ac2f0ccf984ab/US09509313-20161129-D00000.png
