search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22power+semiconductor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11569815-B1,High electric-thermal performance and high-power density power module ,"Zhong Chen, Ang Simon S, Junji Ke","Zhong Chen, Simon S. Ang, Junji Ke",2019-10-15,2020-10-15,2023-01-31,2023-01-31,https://patents.google.com/patent/US11569815B1/en,https://patentimages.storage.googleapis.com/f3/ba/f4/9eb930cc4f3394/US11569815-20230131-D00000.png
US-9031105-B2,Conduction cooled high power semiconductor laser and method for fabricating the same ,"Xi'an Focuslight Technologies, Co., Ltd.","Jingwei Wang, Xingsheng Liu",2011-12-20,2012-11-22,2015-05-12,2015-05-12,https://patents.google.com/patent/US9031105B2/en,https://patentimages.storage.googleapis.com/0a/72/6c/3a157dcbf94d29/US09031105-20150512-D00000.png
US-8629222-B2,"Curable polysiloxane composition, and polysiloxane cured product, optical member, member for aerospace industry, semiconductor light-emitting device, illuminating device and image display device using the same ",Mitsubishi Chemical Corporation,"Kenichi Takizawa, Yoshiaki Koyashiki, Hiroshi Kobayashi, Masahito Shinbara, Hanako Kato, Mari Abe, Masanori Yamazaki, Yutaka Mori",2008-03-28,2009-03-27,2014-01-14,2014-01-14,https://patents.google.com/patent/US8629222B2/en,https://patentimages.storage.googleapis.com/04/d2/95/8c65307d1ab6db/US08629222-20140114-D00001.png
US-9414520-B2,Immersion cooled motor controller ,Hamilton Sundstrand Corporation,"Kris H. Campbell, Christopher J. Courtney, Joshua Scott Parkin, Charles Shepard",2013-05-28,2013-05-28,2016-08-09,2016-08-09,https://patents.google.com/patent/US9414520B2/en,https://patentimages.storage.googleapis.com/6a/32/61/8ae0392d2c240b/US09414520-20160809-D00000.png
US-11637504-B1,Converter including an electrically isolating and thermally conductive layer ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT, Marco Bohlländer, Claus Müller",2022-05-31,2022-08-31,2023-04-25,2023-04-25,https://patents.google.com/patent/US11637504B1/en,https://patentimages.storage.googleapis.com/43/e8/e9/e1573fd1a8773e/US11637504-20230425-D00000.png
US-11772788-B1,Substrate-to-heat-sink gap sizing in high voltage power converters ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT",2022-05-31,2022-08-31,2023-10-03,2023-10-03,https://patents.google.com/patent/US11772788B1/en,https://patentimages.storage.googleapis.com/93/43/f3/cff5a732aded44/US11772788-20231003-D00000.png
US-9853573-B2,Grid-tie inverter with active power factor correction ,The Aerospace Corporation,Kasemsan Siri,2016-03-28,2016-03-28,2017-12-26,2017-12-26,https://patents.google.com/patent/US9853573B2/en,https://patentimages.storage.googleapis.com/cd/88/b7/79919f7af87666/US09853573-20171226-D00000.png
US-8432030-B2,Power electronic package having two substrates with multiple semiconductor chips and electronic components ,"Denso Corporation, University Of Cambridge, The University Of Sheffield","Rajesh Kumar Malhan, C Mark JOHNSON, Cyril Buttay, Jeremy Rashid, Florin Udrea",2006-08-29,2011-06-29,2013-04-30,2013-04-30,https://patents.google.com/patent/US8432030B2/en,https://patentimages.storage.googleapis.com/8e/52/84/628545dba833be/US08432030-20130430-D00000.png
US-10033378-B2,Apparatus and method for solid state power control of current load ,Rolls-Royce Plc,Simon Turvey,2015-12-22,2016-09-28,2018-07-24,2018-07-24,https://patents.google.com/patent/US10033378B2/en,https://patentimages.storage.googleapis.com/df/a1/35/9cab6c691d4756/US10033378-20180724-D00000.png
US-11688723-B1,Electrical connection arrangement for a prepackage power converter ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT",2022-05-31,2022-08-31,2023-06-27,2023-06-27,https://patents.google.com/patent/US11688723B1/en,https://patentimages.storage.googleapis.com/fe/bd/6e/8787d126132254/US11688723-20230627-D00000.png
US-7646606-B2,IGBT packaging and cooling using PCM and liquid ,Honeywell International Inc.,"Maria Magdalena Rytka, Vahe Gharakhanian, Rauf Jangirov",2008-05-13,2008-05-13,2010-01-12,2010-01-12,https://patents.google.com/patent/US7646606B2/en,https://patentimages.storage.googleapis.com/89/d5/09/2b734ad1e37a96/US07646606-20100112-D00000.png
US-11699908-B2,Large-format battery management system identifies power degradation ,"Inventus Power, Inc.","Huizhi Chen, Youwu Chen, Jianfei Liu, William Tenorio, Jujie Xia",2020-06-02,2021-08-06,2023-07-11,2023-07-11,https://patents.google.com/patent/US11699908B2/en,https://patentimages.storage.googleapis.com/d2/a9/0c/c8b3eaeab49bea/US11699908-20230711-D00001.png
US-9219005-B2,Semiconductor system and device ,Monolithic 3D Inc.,"Zvi Or-Bach, Deepak Sekar, Brian Cronquist, Ze'ev Wurman",2011-06-28,2012-09-20,2015-12-22,2015-12-22,https://patents.google.com/patent/US9219005B2/en,https://patentimages.storage.googleapis.com/95/1d/85/e8876018034171/US09219005-20151222-D00000.png
US-11728743-B1,Dielectric strength and void size in electrical isolation material of a power converter ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT, Marco Bohlländer, Claus Müller",2022-05-31,2022-08-31,2023-08-15,2023-08-15,https://patents.google.com/patent/US11728743B1/en,https://patentimages.storage.googleapis.com/39/5c/7c/7bf4f7e20c1eca/US11728743-20230815-D00000.png
US-11172597-B2,"Mounting apparatus, for mounting at least one heat dissipating electrical device, optionally including a heat sink body for solid, gas and fluid heat exchange, and circuit board assembly providing interface between circuits ",Algozen Corporation,Michael John Richards,2014-10-31,2020-06-26,2021-11-09,2021-11-09,https://patents.google.com/patent/US11172597B2/en,https://patentimages.storage.googleapis.com/c1/04/7a/7c957084a8c4d1/US11172597-20211109-D00000.png
US-10590542-B2,Method for forming coating having composite coating particle size and coating formed thereby ,"Iones Co., Ltd.","Mun Ki Lee, Byung Ki Kim, Jae Hyuk Park, Dae Gean Kim, Myoung No Lee",2014-01-17,2014-12-04,2020-03-17,2020-03-17,https://patents.google.com/patent/US10590542B2/en,https://patentimages.storage.googleapis.com/2b/c4/d6/643d03d67d4b66/US10590542-20200317-D00000.png
US-8642416-B2,Method of forming three dimensional integrated circuit devices using layer transfer technique ,Monolithic 3D Inc.,"Zvi Or-Bach, Deepak Sekar, Brian Cronquist, Ze'ev Wurman",2010-07-30,2011-06-28,2014-02-04,2014-02-04,https://patents.google.com/patent/US8642416B2/en,https://patentimages.storage.googleapis.com/a8/16/d0/c3844bdbf22a8a/US08642416-20140204-D00000.png
US-11634034-B1,Rapid transistor switching in a converter with limited capacitance ,Rolls-Royce Deutschland Ltd & Co Kg,"Uwe Waltrich, Stanley BUCHERT",2022-05-31,2022-08-31,2023-04-25,2023-04-25,https://patents.google.com/patent/US11634034B1/en,https://patentimages.storage.googleapis.com/18/ad/24/aa503ce8f5cc06/US11634034-20230425-D00000.png
US-8564020-B2,Transistors and rectifiers utilizing hybrid electrodes and methods of fabricating the same ,The Hong Kong University Of Science And Technology,"Jing Chen, Chunhua ZHOU",2009-07-27,2010-07-26,2013-10-22,2013-10-22,https://patents.google.com/patent/US8564020B2/en,https://patentimages.storage.googleapis.com/bf/46/d1/0168efb27e13e9/US08564020-20131022-D00000.png
US-7468569-B2,Stator coil arrangement for an axial airgap electric device including low-loss materials ,"Light Engineering, Inc.",Andrew D. Hirzel,2003-11-03,2007-03-12,2008-12-23,2008-12-23,https://patents.google.com/patent/US7468569B2/en,https://patentimages.storage.googleapis.com/63/74/7e/5b56b2d2515e3c/US07468569-20081223-D00000.png
US-10099928-B2,Scalable multiple-inverse diffusion flame burner for synthesis and processing of carbon-based and other nanostructured materials and films and fuels ,"Rutgers, The State University Of New Jersey","Stephen D. Tse, Nasir K. Memon, Bernard H. Kear",2011-02-25,2016-05-12,2018-10-16,2018-10-16,https://patents.google.com/patent/US10099928B2/en,https://patentimages.storage.googleapis.com/c5/4f/f9/cf95daa1637724/US10099928-20181016-D00000.png
US-7230361-B2,Efficient high-speed electric device using low-loss materials ,"Light Engineering, Inc.",Andrew D. Hirzel,2003-01-31,2006-05-25,2007-06-12,2007-06-12,https://patents.google.com/patent/US7230361B2/en,https://patentimages.storage.googleapis.com/85/7c/4b/abfef5c45520d8/US07230361-20070612-D00000.png
US-9412926-B2,High power solid-state lamp ,"Cree, Inc.","Bernd Keller, James Ibbetson",2005-06-10,2005-06-10,2016-08-09,2016-08-09,https://patents.google.com/patent/US9412926B2/en,https://patentimages.storage.googleapis.com/21/51/19/ec363fe415a242/US09412926-20160809-D00000.png
US-8076699-B2,"Integrated HEMT and lateral field-effect rectifier combinations, methods, and systems ",The Hong Kong Univ. Of Science And Technology,"Jing Chen, Wanjun CHEN, Chunhua ZHOU",2008-04-02,2009-03-31,2011-12-13,2011-12-13,https://patents.google.com/patent/US8076699B2/en,https://patentimages.storage.googleapis.com/91/71/5b/6c269f63b34150/US08076699-20111213-D00000.png
