search URL:,https://patents.google.com/?q=%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8343876-B2,Fast gas switching plasma processing apparatus ,Lam Research Corporation,"S. M. Reza Sadjadi, Zhisong Huang, Jose Tong Sam, Eric H. Lenz, Rajinder Dhindsa",2004-04-30,2011-07-22,2013-01-01,2013-01-01,https://patents.google.com/patent/US8343876B2/en,https://patentimages.storage.googleapis.com/b9/ba/14/b8458bada3dd80/US08343876-20130101-D00000.png
US-10749443-B2,High power multilayer module having low inductance and fast switching for paralleling power devices ,"Cree Fayetteville, Inc.","Daniel Martin, Brice Mcpherson, Alexander Lostetter",2017-01-13,2019-02-04,2020-08-18,2020-08-18,https://patents.google.com/patent/US10749443B2/en,https://patentimages.storage.googleapis.com/f4/77/4b/e7d5ce9cadb6f0/US10749443-20200818-D00000.png
US-9900629-B2,Codec techniques for fast switching with intermediate sequence ,Apple Inc.,"Yeping Su, Chris Y. Chung, Xiaosong ZHOU, James Oliver Normile, Hsi-Jung Wu, Thomas Jansen, Hyeonkuk Jeong, Joe S. Abuan, Douglas Scott Price",2013-03-13,2013-03-13,2018-02-20,2018-02-20,https://patents.google.com/patent/US9900629B2/en,https://patentimages.storage.googleapis.com/99/c3/6e/e90eb3de7031ed/US09900629-20180220-D00000.png
US-10405450-B2,High power multilayer module having low inductance and fast switching for paralleling power devices ,"Cree Fayetteville, Inc.","Brice Mcpherson, Alex Lostetter",2017-01-13,2019-02-14,2019-09-03,2019-09-03,https://patents.google.com/patent/US10405450B2/en,https://patentimages.storage.googleapis.com/c8/42/63/549ab2d21f40cc/US10405450-20190903-D00000.png
US-9363806-B2,Fast switching of forward link in wireless system ,Intel Corporation,"Pertti Olavi Alapuranen, Kevin P. Johnson, Kevin L. Farley",2001-05-02,2014-04-04,2016-06-07,2016-06-07,https://patents.google.com/patent/US9363806B2/en,https://patentimages.storage.googleapis.com/f9/fb/b9/bc26bbb02f0a15/US09363806-20160607-D00000.png
US-9986281-B2,Fast switching between multiple programs ,"Facebook, Inc.","Erick Tseng, Colin Cameron Campbell, Gregory John Moeck",2013-02-22,2013-11-08,2018-05-29,2018-05-29,https://patents.google.com/patent/US9986281B2/en,https://patentimages.storage.googleapis.com/a2/c2/93/dff3bb868ae7ac/US09986281-20180529-D00000.png
US-10637160-B2,Method to build fast transmit-receive switching architecture ,"Integrated Device Technology, Inc.","Samet Zihir, Tumay Kanar",2017-09-18,2018-09-14,2020-04-28,2020-04-28,https://patents.google.com/patent/US10637160B2/en,https://patentimages.storage.googleapis.com/8d/b5/6a/d67a644b3f198d/US10637160-20200428-D00000.png
US-11445630-B2,High power multilayer module having low inductance and fast switching for paralleling power devices ,"Wolfspeed, Inc.","Matthew Feurtado, Brice Mcpherson, Daniel Martin, Alexander Lostetter",2017-01-13,2021-01-15,2022-09-13,2022-09-13,https://patents.google.com/patent/US11445630B2/en,https://patentimages.storage.googleapis.com/da/07/5a/700067158d38a9/US11445630-20220913-D00000.png
US-9967579-B2,Fast switching hybrid video decoder ,"Cisco Technology, Inc.","Guang Xu, Hongjuan Wang, Qi Zhang, Zhiliang Wang",2012-11-28,2015-09-23,2018-05-08,2018-05-08,https://patents.google.com/patent/US9967579B2/en,https://patentimages.storage.googleapis.com/9a/9a/f4/c38da86e895163/US09967579-20180508-D00000.png
US-8933506-B2,Diode structures with controlled injection efficiency for fast switching ,Alpha And Omega Semiconductor Incorporated,"Madhur Bobde, Harsh Naik, Lingpeng Guan, Anup Bhalla, Sik Lui",2011-01-31,2011-01-31,2015-01-13,2015-01-13,https://patents.google.com/patent/US8933506B2/en,https://patentimages.storage.googleapis.com/9f/b5/84/130999612d36f8/US08933506-20150113-D00000.png
