search URL:,https://patents.google.com/?q=%28%22heat+switch%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8659903-B2,Heat switch array for thermal hot spot cooling ,Palo Alto Research Center Incorporated,David Eric Schwartz,2011-12-06,2011-12-06,2014-02-25,2014-02-25,https://patents.google.com/patent/US8659903B2/en,https://patentimages.storage.googleapis.com/59/fa/73/261afb19f720da/US08659903-20140225-D00000.png
US-7658092-B2,Heat switch for chromatographic system and method of operation ,Schlumberger Technology Corporation,"Neil William Bostrom, Shigeo Daito, Jagdish Shah, Robert L. Kleinberg",2006-12-22,2006-12-22,2010-02-09,2010-02-09,https://patents.google.com/patent/US7658092B2/en,https://patentimages.storage.googleapis.com/f2/31/c6/86ba3f203f970f/US07658092-20100209-D00000.png
US-10488167-B2,Wedge-based heat switch using temperature activated phase transition material ,Raytheon Company,"Alex E. Ockfen, Samuel T. Craig",2017-01-30,2017-01-30,2019-11-26,2019-11-26,https://patents.google.com/patent/US10488167B2/en,https://patentimages.storage.googleapis.com/c2/69/24/e6dea70ac8258b/US10488167-20191126-D00000.png
US-10852051-B2,Method of forming a heat switch ,Oxford Instruments Nanotechnology Tools Limited,Anthony Matthews,2016-06-15,2017-06-05,2020-12-01,2020-12-01,https://patents.google.com/patent/US10852051B2/en,https://patentimages.storage.googleapis.com/82/23/1f/37380eda674cbb/US10852051-20201201-D00000.png
US-9349558-B2,Mechanically acuated heat switch ,Palo Alto Research Center Incorporated,"David Eric Schwartz, Sean Roark Garner, Dirk De Bruyker, Ricardo Santos Roque",2011-12-06,2011-12-06,2016-05-24,2016-05-24,https://patents.google.com/patent/US9349558B2/en,https://patentimages.storage.googleapis.com/85/5e/ce/f9456e0ffff933/US09349558-20160524-D00000.png
US-9879924-B2,Heat switch radiators for variable rate heat rejection ,"Hamilton Sundstrand Space Systems International, Inc.","Gregory Quinn, Mark A. Zaffetti, James R. O'Coin",2014-01-24,2014-01-24,2018-01-30,2018-01-30,https://patents.google.com/patent/US9879924B2/en,https://patentimages.storage.googleapis.com/0a/42/5d/121701a5dbe054/US09879924-20180130-D00000.png
US-10145602-B2,Active gas-gap heat switch with fast thermal response ,The United States Of America As Represented By The Administrator Of The National Aeronautics And Space Administration,"Peter J. Shirron, Mark O. Kimball",2015-09-02,2015-09-02,2018-12-04,2018-12-04,https://patents.google.com/patent/US10145602B2/en,https://patentimages.storage.googleapis.com/4a/39/7b/b84033d578bcd5/US10145602-20181204-D00000.png
US-3188431-A,Infinite heat switch ,American Thermostat Corp,Robert N Levinn,1962-03-22,1962-03-22,1965-06-08,1965-06-08,https://patents.google.com/patent/US3188431A/en,https://patentimages.storage.googleapis.com/8b/5d/a2/3d10eab9c09bc0/US3188431-drawings-page-1.png
US-3463224-A,Thermal heat switch ,Trw Inc,John Edmond Myers,1966-10-24,1966-10-24,1969-08-26,1969-08-26,https://patents.google.com/patent/US3463224A/en,https://patentimages.storage.googleapis.com/0e/e9/e3/df0363f092f3f8/US3463224-drawings-page-1.png
US-3463905-A,Combination infinite heat switch and solid-state temperature control ,Gen Electric,Stanley B Welch,1966-06-30,1966-06-30,1969-08-26,1969-08-26,https://patents.google.com/patent/US3463905A/en,https://patentimages.storage.googleapis.com/ef/27/14/72d5e71dcd106d/US3463905-drawings-page-1.png
