search URL:,https://patents.google.com/?q=%28%22heat+switch%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9234668-B2,"User-friendly, network connected learning thermostat and related systems and methods ",Google Inc.,"Anthony Michael Fadell, Matthew Lee Rogers, Edwin H. Satterthwaite, Jr., Ian C. SMITH, Daniel Adam Warren, Joseph E. Palmer, Shigefumi Honjo, Grant M. ERICKSON, Jonathan Alan Dutra, Hugo Fiennes",2011-10-21,2012-10-19,2016-01-12,2016-01-12,https://patents.google.com/patent/US9234668B2/en,https://patentimages.storage.googleapis.com/22/64/6a/d6576ae71823b4/US09234668-20160112-D00000.png
US-9513642-B2,Flexible functionality partitioning within intelligent-thermostat-controlled HVAC systems ,Google Inc.,"Matthew Lee Rogers, Anthony Michael Fadell, Erik Charlton, Shigefumi Honjo, Yoky Matsuoka, David Sloo, Isabel Guenette",2010-11-19,2012-01-03,2016-12-06,2016-12-06,https://patents.google.com/patent/US9513642B2/en,https://patentimages.storage.googleapis.com/55/24/45/078aaf8e36fc3e/US09513642-20161206-D00000.png
US-9851728-B2,Inhibiting deleterious control coupling in an enclosure having multiple HVAC regions ,Google Inc.,"Yoky Matsuoka, Rangoli SHARAN, Michael Anthony Fadell, Matthew Lee Rogers",2010-12-31,2012-01-03,2017-12-26,2017-12-26,https://patents.google.com/patent/US9851728B2/en,https://patentimages.storage.googleapis.com/87/73/f3/8a5afd19bf2938/US09851728-20171226-D00000.png
US-8554376-B1,Intelligent controller for an environmental control system ,"Nest Labs, Inc","Yoky Matsuoka, Joseph Ruff, Mark Malhotra",2012-09-30,2012-09-30,2013-10-08,2013-10-08,https://patents.google.com/patent/US8554376B1/en,https://patentimages.storage.googleapis.com/40/dd/75/679186afb4f4fb/US08554376-20131008-D00000.png
US-8972065-B2,Distribution of call-home events over time to ameliorate high communications and computation peaks in intelligent control system ,Google Inc.,"Yoky Matsuoka, Steven A. Hales, IV",2012-04-05,2012-04-05,2015-03-03,2015-03-03,https://patents.google.com/patent/US8972065B2/en,https://patentimages.storage.googleapis.com/28/11/03/5157f63f2e923c/US08972065-20150303-D00000.png
US-11118803-B2,Continuous intelligent-control-system update using information requests directed to user devices ,Google Llc,Yoky Matsuoka,2012-04-05,2019-12-10,2021-09-14,2021-09-14,https://patents.google.com/patent/US11118803B2/en,https://patentimages.storage.googleapis.com/3d/0a/5a/2356cb21405a27/US11118803-20210914-D00000.png
US-9417637-B2,"Background schedule simulations in an intelligent, network-connected thermostat ",Google Inc.,"Yoky Matsuoka, Mark Malhotra",2010-12-31,2013-03-14,2016-08-16,2016-08-16,https://patents.google.com/patent/US9417637B2/en,https://patentimages.storage.googleapis.com/81/2f/fb/569ea9e1df1e53/US09417637-20160816-D00000.png
US-9020646-B2,Automated control-schedule acquisition within an intelligent controller ,Google Inc.,"Yoky Matsuoka, Eric A. Lee, Steven A. HALES, Mark D. Stefanski, Rangoli SHARAN",2011-10-21,2013-12-06,2015-04-28,2015-04-28,https://patents.google.com/patent/US9020646B2/en,https://patentimages.storage.googleapis.com/48/8e/bf/c1972aa4e33b34/US09020646-20150428-D00000.png
US-11359831-B2,Automated presence detection and presence-related control within an intelligent controller ,Google Llc,"Yoky Matsuoka, Evan J. Fisher, Mark Malhotra, Mark D. Stefanski, Rangoli SHARAN, Frank E. Astier",2012-09-30,2020-06-22,2022-06-14,2022-06-14,https://patents.google.com/patent/US11359831B2/en,https://patentimages.storage.googleapis.com/23/5d/83/1ea38f8fb2d32b/US11359831-20220614-D00000.png
US-5666018-A,Cathode with fast heat switch-on and switch-off mechanism and grid-type electron tube including such a cathode ,Thomson Tubes Electroniques,"Michel Langlois, Robert Frossard",1993-07-27,1996-06-14,1997-09-09,1997-09-09,https://patents.google.com/patent/US5666018A/en,https://patentimages.storage.googleapis.com/84/18/9d/71a10aa94c8d57/US5666018-drawings-page-2.png
