search URL:,https://patents.google.com/?q=%28%22magnetic+anisotropy%22%29+%28%22superconducting+magnet%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH&oq=%28%22magnetic+anisotropy%22%29+%28%22superconducting+magnet%22%29+country:US+status:GRANT+language:ENGLISH+type:PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7202667-B2,Anisotropic nanoparticle amplification of magnetic resonance signals ,California Institute Of Technology,Mladen Barbic,2004-06-07,2005-06-03,2007-04-10,2007-04-10,https://patents.google.com/patent/US7202667B2/en,https://patentimages.storage.googleapis.com/b5/fb/12/474ce4e1f2ddf2/US07202667-20070410-D00000.png
US-11087792-B2,"Oriented body, method for producing the same, device for producing the same, and magnetic recording medium ","The University Of Tokyo, Dowa Electronics Materials Co., Ltd.","Shin-ichi Ohkoshi, Kenta IMOTO, Shizuka ANAN, Asuka Namai, Kenji Masada",2015-11-30,2016-11-30,2021-08-10,2021-08-10,https://patents.google.com/patent/US11087792B2/en,https://patentimages.storage.googleapis.com/83/5b/a5/337fb405a2920a/US11087792-20210810-D00000.png
US-5936293-A,Hard/soft magnetic tunnel junction device with stable hard ferromagnetic layer ,International Business Machines Corporation,Stuart Stephen Papworth Parkin,1998-01-23,1998-01-23,1999-08-10,1999-08-10,https://patents.google.com/patent/US5936293A/en,https://patentimages.storage.googleapis.com/92/4f/bd/37956a9c06df7e/US5936293-drawings-page-2.png
US-11639975-B2,Spin-based detection of terahertz and sub-terahertz electromagnetic radiation ,The Regents Of The University Of California,"Jing Shi, Junxue Li",2019-10-14,2020-09-14,2023-05-02,2023-05-02,https://patents.google.com/patent/US11639975B2/en,https://patentimages.storage.googleapis.com/37/53/02/1926ca6a3f6522/US11639975-20230502-D00000.png
US-9255343-B2,Iron-based composition for magnetocaloric effect (MCE) applications and method of making a single crystal ,"Ut-Battelle, Llc","Boyd McCutchen Evans, III, Roger A. Kisner, Gail Mackiewicz Ludtka, Gerard Michael Ludtka, Alexander M. MELIN, Donald M. Nicholson, Chad M. Parish, Orlando RIOS, Athena S. Sefat, David L. West, John B. Wilgen",2013-03-08,2013-03-08,2016-02-09,2016-02-09,https://patents.google.com/patent/US9255343B2/en,https://patentimages.storage.googleapis.com/bd/72/19/089d175f3d1e55/US09255343-20160209-D00000.png
US-9929338-B2,Spin current devices and methods of fabrication thereof ,The Regents Of The University Of California,"Jing Shi, Junxue Li, Yadong Xu, Mohammed Aldosary, Chi Tang, Roger Lake",2015-10-09,2016-10-10,2018-03-27,2018-03-27,https://patents.google.com/patent/US9929338B2/en,https://patentimages.storage.googleapis.com/5f/f7/91/80083f3a6807a5/US09929338-20180327-D00000.png
US-7249518-B2,Sensors based on giant planar hall effect in dilute magnetic semiconductors ,California Institute Of Technology,"Hongxing Tang, Michael L. Roukes",2002-06-21,2005-02-03,2007-07-31,2007-07-31,https://patents.google.com/patent/US7249518B2/en,https://patentimages.storage.googleapis.com/78/53/4a/02dd41c9ffd637/US07249518-20070731-D00000.png
US-9950958-B2,Electromagnetic effect material and ceramic electronic component ,"Murata Manufacturing Co., Ltd.","Tsuyoshi Kimura, Koji Okumura, Yasuhiro Yamaguchi, Kohei Haruki",2013-03-14,2015-09-11,2018-04-24,2018-04-24,https://patents.google.com/patent/US9950958B2/en,https://patentimages.storage.googleapis.com/44/fc/da/f11c48fde6c6d3/US09950958-20180424-D00001.png
US-5529981-A,Process and apparatus for preparing biaxially textured materials using anisotropy in the paramagnetic susceptibility ,Holloway; Alex,Alex Holloway,1992-03-05,1993-07-20,1996-06-25,1996-06-25,https://patents.google.com/patent/US5529981A/en,https://patentimages.storage.googleapis.com/f0/8f/16/984ecb8dce2e20/US5529981-drawings-page-2.png
US-3856579-A,Sputtered magnetic materials comprising rare-earth metals and method of preparation ,Battelle Development Corp,"R Allen, R Nelson",1972-12-04,1972-12-04,1974-12-24,1974-12-24,https://patents.google.com/patent/US3856579A/en,https://patentimages.storage.googleapis.com/03/44/7b/7e3c62a6321fd7/US3856579-drawings-page-2.png
