search URL:,https://patents.google.com/?q=%28%22memristor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10860291-B2,Memristor based logic gate ,Oxford Brookes University,"Abusaleh Muhammad Jabir, Xiaohan Yang, Adedotun Adedeji Adeyemo",2016-02-23,2017-02-20,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860291B2/en,https://patentimages.storage.googleapis.com/ae/de/ac/7c1302a9984766/US10860291-20201208-D00000.png
US-9653162-B2,System and a method for designing a hybrid memory cell with memristor and complementary metal-oxide semiconductor ,Khalifa University,"Baker Shehadah MOHAMMAD, Dirar Al-Homouz",2012-12-02,2016-03-07,2017-05-16,2017-05-16,https://patents.google.com/patent/US9653162B2/en,https://patentimages.storage.googleapis.com/8b/ac/63/7876e22c760caa/US09653162-20170516-D00000.png
US-10498341-B2,Sparse coding with memristor networks ,The Regents Of The University Of Michigan,"Wei Lu, Fuxi CAI, Patrick Sheridan, Chao Du",2017-04-24,2018-12-28,2019-12-03,2019-12-03,https://patents.google.com/patent/US10498341B2/en,https://patentimages.storage.googleapis.com/eb/54/86/2dc135bcd30c8a/US10498341-20191203-D00000.png
US-10083974-B1,Floating memristor ,Beihang University,"Anping Huang, Xinjiang Zhang",2017-03-23,2017-08-10,2018-09-25,2018-09-25,https://patents.google.com/patent/US10083974B1/en,https://patentimages.storage.googleapis.com/65/9f/13/62bf8bba27dd0c/US10083974-20180925-D00000.png
US-11444124-B2,Hybrid memristor/field-effect transistor memory cell and its information encoding scheme ,The Hong Kong University Of Science And Technology,"Kwang Ting CHENG, Miguel Angel LASTRAS MONTAÑO",2017-07-26,2018-07-11,2022-09-13,2022-09-13,https://patents.google.com/patent/US11444124B2/en,https://patentimages.storage.googleapis.com/1a/0f/b3/5f459ca53d2142/US11444124-20220913-D00000.png
US-11579677-B2,Memristor crossbar arrays to activate processors ,Hewlett Packard Enterprise Development Lp,"Miao Hu, Tsung-Ching HUANG, Chin-Hui Chen, Raymond G Beausoleil, John Paul Strachan",2015-12-18,2015-12-18,2023-02-14,2023-02-14,https://patents.google.com/patent/US11579677B2/en,https://patentimages.storage.googleapis.com/5b/e5/e0/b5f92b500690d8/US11579677-20230214-D00000.png
US-10241971-B2,Hierarchical computations on sparse matrix rows via a memristor array ,Hewlett Packard Enterprise Development Lp,Naveen Muralimanohar,2016-12-15,2016-12-15,2019-03-26,2019-03-26,https://patents.google.com/patent/US10241971B2/en,https://patentimages.storage.googleapis.com/22/77/e6/627cc44cc42c3c/US10241971-20190326-D00000.png
US-9035272-B2,Nanoparticle-based memristor structure ,"Hewlett-Packard Development Company, L.P.","Xia Sheng, Zhang-Lin Zhou, Richard H. Henze",2013-01-16,2013-01-16,2015-05-19,2015-05-19,https://patents.google.com/patent/US9035272B2/en,https://patentimages.storage.googleapis.com/43/13/97/339df72978f96b/US09035272-20150519-D00000.png
US-10171083-B2,Memristor logic design using driver circuitry ,"Board Of Regents, The University Of Texas System","Earl Swartzlander, Lauren Guckert",2016-12-05,2016-12-05,2019-01-01,2019-01-01,https://patents.google.com/patent/US10171083B2/en,https://patentimages.storage.googleapis.com/ab/fd/f2/b96899a703678d/US10171083-20190101-D00000.png
US-10741759-B2,Diffusive memristor and device for synaptic emulator ,University Of Massachusetts,"Jianhua Yang, Qiangfei Xia, Mark Mclean, Qing Wu, Mark Barnell",2017-09-26,2018-09-26,2020-08-11,2020-08-11,https://patents.google.com/patent/US10741759B2/en,https://patentimages.storage.googleapis.com/2e/6c/46/6b97712b70bb20/US10741759-20200811-D00000.png
US-11586884-B2,Artificial neurons using diffusive memristor ,University Of Massachusetts,"Jianhua Yang, Qiangfei Xia, Mark Mclean, Qing Wu",2018-02-08,2019-02-08,2023-02-21,2023-02-21,https://patents.google.com/patent/US11586884B2/en,https://patentimages.storage.googleapis.com/13/7d/a0/487c0b83ab2d2c/US11586884-20230221-D00000.png
US-8832009-B2,Electronic charge sharing CMOS-memristor neural circuit ,The United States Of America As Represented By The Secretary Of The Air Force,"Garrett S. Rose, Robinson E. Pino, Qing Wu",2012-05-15,2012-05-15,2014-09-09,2014-09-09,https://patents.google.com/patent/US8832009B2/en,https://patentimages.storage.googleapis.com/63/6c/b7/359ce766d9d9df/US08832009-20140909-D00000.png
US-11580411-B2,Systems for introducing memristor random telegraph noise in Hopfield neural networks ,Hewlett Packard Enterprise Development Lp,"Suhas Kumar, Thomas Van Vaerenbergh, John Paul Strachan",2018-12-18,2018-12-18,2023-02-14,2023-02-14,https://patents.google.com/patent/US11580411B2/en,https://patentimages.storage.googleapis.com/dd/35/20/d529d93c4e3794/US11580411-20230214-D00000.png
US-11748609-B2,On-chip training of memristor crossbar neuromorphic processing systems ,University Of Dayton,"Tarek M. Taha, Md Raqibul Hasan, Chris Yakopcic",2015-07-06,2021-01-05,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748609B2/en,https://patentimages.storage.googleapis.com/5e/c2/28/aa216fb235086a/US11748609-20230905-D00000.png
US-8433665-B2,Methods and systems for three-memristor synapse with STDP and dopamine signaling ,Qualcomm Incorporated,"Yi Tang, Jeffrey A. Levin, Vladimir Aparin, Venkat Rangan",2010-07-07,2010-07-07,2013-04-30,2013-04-30,https://patents.google.com/patent/US8433665B2/en,https://patentimages.storage.googleapis.com/32/5f/da/0489e493d48e70/US08433665-20130430-D00000.png
US-8416604-B2,Method of implementing memristor-based multilevel memory using reference resistor array ,"Industrial Cooperation Foundation Chonbuk National University, The Regents Of The University Of California","Hyongsuk KIM, Leon O. Chua",2010-01-26,2011-01-20,2013-04-09,2013-04-09,https://patents.google.com/patent/US8416604B2/en,https://patentimages.storage.googleapis.com/16/b6/ac/cf2ddf743ddc1f/US08416604-20130409-D00000.png
US-7902867-B2,Memristor crossbar neural interface ,Blaise Laurent Mouttet,Blaise Laurent Mouttet,2006-04-03,2009-02-19,2011-03-08,2011-03-08,https://patents.google.com/patent/US7902867B2/en,https://patentimages.storage.googleapis.com/c7/32/f2/e3c433b1ce728b/US07902867-20110308-D00000.png
US-8391055-B2,Magnetic tunnel junction and memristor apparatus ,Seagate Technology Llc,"Xiaobin Wang, Yiran Chen, Alan Wang, Haiwen Xi, Wenzhong Zhu, Hai Li, Hongyue Liu",2008-10-31,2011-09-23,2013-03-05,2013-03-05,https://patents.google.com/patent/US8391055B2/en,https://patentimages.storage.googleapis.com/c5/9d/62/19345dd671c02f/US08391055-20130305-D00000.png
US-8450711-B2,Semiconductor memristor devices ,"Hewlett-Packard Development Company, L.P.","R. Stanley Williams, Jianhua Yang, Duncan Stewart",2009-01-26,2009-01-26,2013-05-28,2013-05-28,https://patents.google.com/patent/US8450711B2/en,https://patentimages.storage.googleapis.com/1f/cc/76/eddae749c12425/US08450711-20130528-D00000.png
US-8431921-B2,Memristor having a triangular shaped electrode ,"Hewlett-Packard Development Company, L.P.","Matthew D. Pickett, Julien Borghetti",2009-01-13,2009-01-13,2013-04-30,2013-04-30,https://patents.google.com/patent/US8431921B2/en,https://patentimages.storage.googleapis.com/06/af/f9/b9e254180652b8/US08431921-20130430-D00000.png
US-8207593-B2,Memristor having a nanostructure in the switching material ,"Hewlett-Packard Development Company, L.P.","Alexandre M. Bratkovski, Qiangfei Xia, Jianhua Yang",2009-07-28,2009-07-28,2012-06-26,2012-06-26,https://patents.google.com/patent/US8207593B2/en,https://patentimages.storage.googleapis.com/45/f5/d0/263bca11877292/US08207593-20120626-D00000.png
US-10020054-B2,Memristor-based processor integrating computing and memory and method for using the processor ,Huazhong University Of Science And Technology,"Qun Liu, Tao Zhang, Xiangshui Miao, Yi Li, Yaxiong Zhou, Tianpeng MIAO",2014-12-22,2017-06-21,2018-07-10,2018-07-10,https://patents.google.com/patent/US10020054B2/en,https://patentimages.storage.googleapis.com/db/1f/2f/081a8856c7c50d/US10020054-20180710-D00000.png
