search URL:,https://patents.google.com/?q=%28%22mtj%22+OR+%22magnet+tunnel+junction%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7598579-B2,Magnetic tunnel junction (MTJ) to reduce spin transfer magnetization switching current ,"Magic Technologies, Inc.","Cheng T. Horng, Ru-Ying Tong",2007-01-30,2007-01-30,2009-10-06,2009-10-06,https://patents.google.com/patent/US7598579B2/en,https://patentimages.storage.googleapis.com/a4/24/a3/c6099d5051bcf2/US07598579-20091006-D00000.png
US-8889431-B2,"Magnetic tunnel junction (MTJ) and methods, and magnetic random access memory (MRAM) employing same ",Qualcomm Incorporated,"Xiaochun Zhu, Matthew Nowak, Xia Li, Seung H. Kang",2009-04-14,2012-11-21,2014-11-18,2014-11-18,https://patents.google.com/patent/US8889431B2/en,https://patentimages.storage.googleapis.com/eb/63/c1/bd0dbe75ef8ae3/US08889431-20141118-D00000.png
US-7394247-B1,Magnetic field angle sensor with GMR or MTJ elements ,"Magic Technologies, Inc.","Yimin Guo, Grace Gorman, Po-Kang Wang",2007-07-26,2007-07-26,2008-07-01,2008-07-01,https://patents.google.com/patent/US7394247B1/en,https://patentimages.storage.googleapis.com/26/af/d4/e584c7a90819d9/US07394247-20080701-D00000.png
US-8749003-B2,High performance MTJ element for conventional MRAM and for STT-RAM and a method for making the same ,"Headway Technologies, Inc.","Cheng T. Horng, Ru-Ying Tong, Chyu-Jiuh Tomg, Witold Kula",2007-10-31,2013-02-11,2014-06-10,2014-06-10,https://patents.google.com/patent/US8749003B2/en,https://patentimages.storage.googleapis.com/33/23/99/f0f8c4e31439f5/US08749003-20140610-D00000.png
US-9460768-B2,Cross point array MRAM having spin hall MTJ devices ,Intel Corporation,"Sasikanth Manipatruni, Dmitri E. Nikonov, Ian A. Young",2013-03-14,2013-03-14,2016-10-04,2016-10-04,https://patents.google.com/patent/US9460768B2/en,https://patentimages.storage.googleapis.com/04/43/56/d41a67b42a13d4/US09460768-20161004-D00001.png
US-10636962-B2,"Spin-orbit torque (SOT) magnetic tunnel junction (MTJ) (SOT-MTJ) devices employing perpendicular and in-plane free layer magnetic anisotropy to facilitate perpendicular magnetic orientation switching, suitable for use in memory systems for storing data ",Qualcomm Incorporated,"Chando Park, Sungryul KIM, Seung Hyuk Kang",2018-08-21,2018-08-21,2020-04-28,2020-04-28,https://patents.google.com/patent/US10636962B2/en,https://patentimages.storage.googleapis.com/d2/98/cb/576e66dff4e16b/US10636962-20200428-D00000.png
US-9331271-B2,Structure and method to fabricate high performance MTJ devices for spin-transfer torque (STT)-RAM application ,"Headway Technologies, Inc.","Cheng T. Horng, Ru-Ying Tong, Guangli Liu, Robert Beach, Witold Kula, Tai Min",2009-07-17,2013-12-06,2016-05-03,2016-05-03,https://patents.google.com/patent/US9331271B2/en,https://patentimages.storage.googleapis.com/fb/e0/c7/c08c77ec2b907b/US09331271-20160503-D00000.png
US-10134808-B2,"Magnetic tunnel junction (MTJ) devices with heterogeneous free layer structure, particularly suited for spin-torque-transfer (STT) magnetic random access memory (MRAM) (STT MRAM) ",Qualcomm Incorporated,"Jimmy Jianan Kan, Chando Park, Matthias Georg Gottwald, Seung Hyuk Kang",2015-11-02,2016-04-25,2018-11-20,2018-11-20,https://patents.google.com/patent/US10134808B2/en,https://patentimages.storage.googleapis.com/dd/06/36/4c3b2ecdf61b83/US10134808-20181120-D00000.png
US-7948044-B2,Low switching current MTJ element for ultra-high STT-RAM and a method for making the same ,"Magic Technologies, Inc.","Cheng T. Horng, Ru-Ying Tong, Yimin Guo",2008-04-09,2008-04-09,2011-05-24,2011-05-24,https://patents.google.com/patent/US7948044B2/en,https://patentimages.storage.googleapis.com/fe/e9/9e/0b5c9534dbb7e1/US07948044-20110524-D00000.png
US-7479394-B2,MgO/NiFe MTJ for high performance MRAM application ,"Magic Technologies, Inc.","Cheng T. Horng, Ru-Ying Tong",2005-12-22,2005-12-22,2009-01-20,2009-01-20,https://patents.google.com/patent/US7479394B2/en,https://patentimages.storage.googleapis.com/e4/b9/7e/735a0e0fd95ff6/US07479394-20090120-D00000.png
