search URL:,https://patents.google.com/?q=%28%22physical+property+measurement+system%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10224125-B2,Compositions comprising free-standing two-dimensional nanocrystals ,Drexel University,"Michel W. Barsoum, Yury Gogotsi, Michael Naguib Abdelmalak, Olha Mashtalir",2011-06-21,2017-10-27,2019-03-05,2019-03-05,https://patents.google.com/patent/US10224125B2/en,https://patentimages.storage.googleapis.com/aa/a1/dd/f38f82fce59f1f/US10224125-20190305-D00000.png
US-10546997-B2,Magnetic structures including FePd ,Regents Of The University Of Minnesota,"Jian-Ping Wang, Delin Zhang",2016-12-02,2017-12-01,2020-01-28,2020-01-28,https://patents.google.com/patent/US10546997B2/en,https://patentimages.storage.googleapis.com/e8/e6/5d/3610ff2911ede9/US10546997-20200128-D00000.png
US-8683672-B2,Nanomaterial-based gas sensors ,The Regents Of The University Of California,"Marc A. Deshusses, Nosang V. Myung, Wayne Bosze",2006-11-10,2012-11-08,2014-04-01,2014-04-01,https://patents.google.com/patent/US8683672B2/en,https://patentimages.storage.googleapis.com/da/fe/df/708af3038545a6/US08683672-20140401-D00000.png
US-10002686-B2,Method of infusing fibrous substrate with conductive organic particles and conductive polymer; and conductive fibrous substrates prepared therefrom ,The University Of Connecticut,"Gregory Sotzing, Douglas Adamson, Steven Woltornist, Fahad Alamer",2014-03-12,2015-03-09,2018-06-19,2018-06-19,https://patents.google.com/patent/US10002686B2/en,https://patentimages.storage.googleapis.com/59/ac/5f/feccc377cf0074/US10002686-20180619-D00000.png
US-11292962-B2,Doped nanoparticles and methods of making and using same ,The Research Foundation For The State University Of New York,"Sarbajit Banerjee, Luisa Whittaker-Brooks, Christopher J. Patridge, Peter Marley",2011-09-29,2012-10-01,2022-04-05,2022-04-05,https://patents.google.com/patent/US11292962B2/en,https://patentimages.storage.googleapis.com/ad/22/4f/64f24e4648b446/US11292962-20220405-D00000.png
US-10878985-B2,Spin orbit torque generating materials ,Regents Of The University Of Minnesota,"Jian-Ping Wang, Mahendra DC, Mahdi Jamali, Andre Mkhoyan, Danielle Hickey",2016-12-09,2017-12-08,2020-12-29,2020-12-29,https://patents.google.com/patent/US10878985B2/en,https://patentimages.storage.googleapis.com/e8/4d/6e/48240c22f3c3b8/US10878985-20201229-D00000.png
US-10325704-B2,Rare earth magnet ,Toyota Jidosha Kabushiki Kaisha,"Noritsugu Sakuma, Akira Kato, Masao Yano, Shunji Suzuki, Kurima Kobayashi",2015-12-18,2016-12-15,2019-06-18,2019-06-18,https://patents.google.com/patent/US10325704B2/en,https://patentimages.storage.googleapis.com/9f/1c/dd/45a46bcfa6376a/US10325704-20190618-D00000.png
US-10720644-B2,"Two-dimensional, ordered, double transition metals carbides having a nominal unit cell composition M′2M″nXn+1 ",Drexel University,"Michel W. Barsoum, Babak ANASORI, Yury Gogotsi",2015-04-20,2016-04-20,2020-07-21,2020-07-21,https://patents.google.com/patent/US10720644B2/en,https://patentimages.storage.googleapis.com/24/b7/ef/d4322806715e80/US10720644-20200721-D00000.png
US-9234691-B2,Method and apparatus for controlling temperature in a cryocooled cryostat using static and moving gas ,"Quantum Design International, Inc.","Randall BLACK, Dinesh MARTIEN, William NEILS, Jost Diederichs",2010-03-11,2010-03-11,2016-01-12,2016-01-12,https://patents.google.com/patent/US9234691B2/en,https://patentimages.storage.googleapis.com/48/8d/61/8e09b44fb9a523/US09234691-20160112-D00000.png
US-10827660-B2,Conductive composition for low frequency EMI shielding ,"Henkel IP & Holding GmbH, Henkel Ag & Co. Kgaa","Chenyu Huang, Lily Yan, Qili Wu, Xiping He, Li Yao",2015-10-27,2018-04-27,2020-11-03,2020-11-03,https://patents.google.com/patent/US10827660B2/en,https://patentimages.storage.googleapis.com/e4/50/2e/4cdfd0cca4341c/US10827660-20201103-D00000.png
