search URL:,https://patents.google.com/?q=%28%22spin%22%29+%28%22spin+torque%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9378798-B2,Method of writing to a spin torque magnetic random access memory ,"Everspin Technologies, Inc.","Syed M. Alam, Thomas Andre, Matthew R. Croft, Chitra Subramanian, Halbert Lin",2011-01-31,2015-12-16,2016-06-28,2016-06-28,https://patents.google.com/patent/US9378798B2/en,https://patentimages.storage.googleapis.com/e6/39/de/c7831edee81a9b/US09378798-20160628-D00000.png
US-8963579-B2,Spin torque magnetic integrated circuits and devices therefor ,Intel Corporation,"Dmitri E. Nikonov, George I. Bourianoff, Tahir Ghani",2009-12-18,2012-04-30,2015-02-24,2015-02-24,https://patents.google.com/patent/US8963579B2/en,https://patentimages.storage.googleapis.com/4c/d6/13/abb89f0054ec44/US08963579-20150224-D00000.png
US-8654480-B2,Magnetic head with spin torque oscillator and magnetic recording head ,Kabushiki Kaisha Toshiba,"Mariko Shimizu, Hitoshi Iwasaki, Kenichiro Yamada, Junichi Akiyama, Masayuki Takagishi, Tomomi Funayama, Masahiro Takashita",2007-09-25,2012-07-10,2014-02-18,2014-02-18,https://patents.google.com/patent/US8654480B2/en,https://patentimages.storage.googleapis.com/3c/a5/56/0b351b111ccbe5/US08654480-20140218-D00000.png
US-9390734-B2,Data storage device with phase lock spin-torque oscillation stabilization ,Seagate Technology Llc,Kaizhong Gao,2014-07-25,2015-10-09,2016-07-12,2016-07-12,https://patents.google.com/patent/US9390734B2/en,https://patentimages.storage.googleapis.com/cb/30/8b/8787097e034eb4/US09390734-20160712-D00000.png
US-8536668-B2,Seed layer and free magnetic layer for perpindicular anisotropy in a spin-torque magnetic random access memory ,International Business Machines Corporation,Daniel C. Worledge,2010-06-15,2012-08-09,2013-09-17,2013-09-17,https://patents.google.com/patent/US8536668B2/en,https://patentimages.storage.googleapis.com/59/1c/7a/4bfe0a017f3337/US08536668-20130917-D00000.png
US-10090007-B2,Dual-side spin transfer spin torque oscillator ,Carnegie Mellon University,Jian-Gang Zhu,2015-01-26,2016-01-26,2018-10-02,2018-10-02,https://patents.google.com/patent/US10090007B2/en,https://patentimages.storage.googleapis.com/3f/77/51/16357021188845/US10090007-20181002-D00000.png
US-9159906-B2,Spin-torque magnetoresistive memory element and method of fabricating same ,"Everspin Technologies, Inc.","Renu Whig, Jon Slaughter, Nicholas Rizzo, Jijun Sun, Frederick MANCOFF, Dimitri Houssameddine",2011-06-10,2014-03-19,2015-10-13,2015-10-13,https://patents.google.com/patent/US9159906B2/en,https://patentimages.storage.googleapis.com/11/83/be/a065094a1e1970/US09159906-20151013-D00000.png
US-9990943-B2,Texture-control layer for spin torque oscillator ,"Western Digital Technologies, Inc.","Susumu Okamura, Yo Sato, Keiichi Nagasaka, Masashige Sato",2015-11-25,2017-08-01,2018-06-05,2018-06-05,https://patents.google.com/patent/US9990943B2/en,https://patentimages.storage.googleapis.com/a2/34/69/60b92c4994c198/US09990943-20180605-D00000.png
US-8604886-B2,Spin torque oscillator having multiple fixed ferromagnetic layers or multiple free ferromagnetic layers ,Intel Corporation,"Dmitri E. Nikonov, George I. Bourianoff",2010-12-20,2010-12-20,2013-12-10,2013-12-10,https://patents.google.com/patent/US8604886B2/en,https://patentimages.storage.googleapis.com/94/a5/e3/c6a35a58eb712c/US08604886-20131210-D00000.png
US-8697454-B2,Methods of forming spin torque devices and structures formed thereby ,Intel Corporation,"Dmitri E. Nikonov, George I. Bourianoff, Ajey P. Jacob",2009-06-18,2013-05-24,2014-04-15,2014-04-15,https://patents.google.com/patent/US8697454B2/en,https://patentimages.storage.googleapis.com/46/d7/ce/9f3d203629bdc0/US08697454-20140415-D00000.png
US-10573366-B2,Unidirectional spin torque transfer magnetic memory cell structure and methods of programming the same ,"Micron Technology, Inc.","Jun Liu, Gurtej Sandhu",2008-09-30,2018-10-18,2020-02-25,2020-02-25,https://patents.google.com/patent/US10573366B2/en,https://patentimages.storage.googleapis.com/72/1e/75/b209291eff021f/US10573366-20200225-D00000.png
US-10446175-B2,Spin transfer torque device with oxide layer beneath the seed layer ,"Western Digital Technologies, Inc.","James Mac Freitag, Susumu Okamura, Masahiko Hashimoto, Zheng Gao",2017-05-16,2017-05-16,2019-10-15,2019-10-15,https://patents.google.com/patent/US10446175B2/en,https://patentimages.storage.googleapis.com/28/48/c8/e8e2a596ec5088/US10446175-20191015-D00000.png
US-10037772-B2,Low magnetic flux density interface layer for spin torque oscillator ,"Western Digital Technologies, Inc.","Susumu Okamura, Masashige Sato, Keiichi Nagasaka, Yo Sato",2016-06-28,2017-09-25,2018-07-31,2018-07-31,https://patents.google.com/patent/US10037772B2/en,https://patentimages.storage.googleapis.com/b0/53/b4/f8b6757655a322/US10037772-20180731-D00000.png
US-10032470-B1,"Magnetic recording head with spin torque oscillator, head gimbal assembly and magnetic recording apparatus ",Tdk Corporation,"Naomichi Degawa, Tetsuhito SHINOHARA, Shinji Hara, Tetsuya Roppongi",2017-07-14,2017-07-14,2018-07-24,2018-07-24,https://patents.google.com/patent/US10032470B1/en,https://patentimages.storage.googleapis.com/79/6a/85/03c1e2796ea3ce/US10032470-20180724-D00000.png
US-9378759-B2,Spin torque oscillator with low magnetic moment and high perpendicular magnetic anisotropy material ,HGST Netherlands B.V.,"Keiichi Nagasaka, Yo Sato, Masashige Sato, Susumu Okamura, Masato Shiimoto, Masukazu Igarashi",2014-11-20,2014-11-20,2016-06-28,2016-06-28,https://patents.google.com/patent/US9378759B2/en,https://patentimages.storage.googleapis.com/d4/1a/89/b40597376bfbad/US09378759-20160628-D00000.png
