search URL:,https://patents.google.com/?q=%28%22spin%22%29+%28%22spin+torque%22%29%28%22spin+polarization%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH&oq=%28%22spin%22%29+%28%22spin+torque%22%29%28%22spin+polarization%22%29+country:US+status:GRANT+language:ENGLISH+type:PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8879205-B2,High spin-torque efficiency spin-torque oscillator (STO) with dual spin polarization layer ,HGST Netherlands B.V.,"Masato Shiimoto, Keiichi Nagasaka, Masukazu Igarashi",2012-11-13,2012-11-13,2014-11-04,2014-11-04,https://patents.google.com/patent/US8879205B2/en,https://patentimages.storage.googleapis.com/56/9e/67/9acdda60c7e964/US08879205-20141104-D00000.png
US-11309487-B2,Spin transfer torque MRAM with a spin torque oscillator stack and methods of making the same ,Sandisk Technologies Llc,"Quang Le, Zhanjie Li, Zhigang Bai, Paul Vanderheijden, Michael Ho",2018-12-06,2020-05-21,2022-04-19,2022-04-19,https://patents.google.com/patent/US11309487B2/en,https://patentimages.storage.googleapis.com/03/b5/12/27ba560e09c86f/US11309487-20220419-D00000.png
US-9305574-B1,Negative-polarization spin-torque-oscillator ,HGST Netherlands B.V.,"Keiichi Nagasaka, Yo Sato, Masato Shiimoto, Masashige Sato, Masukazu Igarashi, Susumu Okamura",2014-09-23,2014-09-23,2016-04-05,2016-04-05,https://patents.google.com/patent/US9305574B1/en,https://patentimages.storage.googleapis.com/4d/56/8d/50452e78a9f274/US09305574-20160405-D00000.png
US-10937450-B1,Magnetic flux guiding device with spin torque oscillator (STO) film having one or more negative spin polarization layers in assisted writing application ,"Headway Technologies, Inc.","Shohei Kawasaki, Wenyu Chen, Tetsuya Roppongi",2020-07-13,2020-07-13,2021-03-02,2021-03-02,https://patents.google.com/patent/US10937450B1/en,https://patentimages.storage.googleapis.com/57/52/4b/1124e9bb2c301c/US10937450-20210302-D00000.png
US-11257514-B2,Magnetic recording devices having negative polarization layer to enhance spin-transfer torque ,"Western Digital Technologies, Inc.","James Mac Freitag, Susumu Okamura, Alexander GONCHAROV, Zheng Gao",2020-06-25,2020-06-25,2022-02-22,2022-02-22,https://patents.google.com/patent/US11257514B2/en,https://patentimages.storage.googleapis.com/35/69/e3/70e459c6998e3a/US11257514-20220222-D00000.png
US-9378759-B2,Spin torque oscillator with low magnetic moment and high perpendicular magnetic anisotropy material ,HGST Netherlands B.V.,"Keiichi Nagasaka, Yo Sato, Masashige Sato, Susumu Okamura, Masato Shiimoto, Masukazu Igarashi",2014-11-20,2014-11-20,2016-06-28,2016-06-28,https://patents.google.com/patent/US9378759B2/en,https://patentimages.storage.googleapis.com/d4/1a/89/b40597376bfbad/US09378759-20160628-D00000.png
US-11568891-B1,Magnetic flux guiding device with spin torque oscillator (STO) film having negative spin polarization layers in assisted writing application ,"Headway Technologies, Inc.","Wenyu Chen, Shohei Kawasaki, Tetsuya Roppongi",2021-11-30,2021-11-30,2023-01-31,2023-01-31,https://patents.google.com/patent/US11568891B1/en,https://patentimages.storage.googleapis.com/59/d3/82/fcd43fd6c78f3b/US11568891-20230131-D00000.png
US-7800938-B2,Oscillating current assisted spin torque magnetic memory ,"Seagate Technology, Llc","Kirill Rivkin, Yiran Chen, Xiaobin Wang, Haiwen Xi",2008-08-07,2008-10-15,2010-09-21,2010-09-21,https://patents.google.com/patent/US7800938B2/en,https://patentimages.storage.googleapis.com/59/9d/00/c0e5dfe3aaa5e1/US07800938-20100921-D00000.png
US-10090007-B2,Dual-side spin transfer spin torque oscillator ,Carnegie Mellon University,Jian-Gang Zhu,2015-01-26,2016-01-26,2018-10-02,2018-10-02,https://patents.google.com/patent/US10090007B2/en,https://patentimages.storage.googleapis.com/3f/77/51/16357021188845/US10090007-20181002-D00000.png
US-9030777-B2,"Microwave assisted magnetic recording head having spin torque oscillator, and magnetic recording apparatus ","Hitachi, Ltd.",Yo Sato,2012-04-17,2013-03-13,2015-05-12,2015-05-12,https://patents.google.com/patent/US9030777B2/en,https://patentimages.storage.googleapis.com/14/1b/7c/ff781ba2e9a55f/US09030777-20150512-D00000.png
US-10211393-B2,Spin accumulation torque MRAM ,Sandisk Technologies Llc,"Goran Mihajlovic, Neil Smith, Jordan Asher Katine, Neil Leslie Robertson",2017-02-23,2017-02-23,2019-02-19,2019-02-19,https://patents.google.com/patent/US10211393B2/en,https://patentimages.storage.googleapis.com/87/65/2a/88c9531d180a97/US10211393-20190219-D00000.png
US-11575083-B2,Insertion layer between spin hall effect or spin orbit torque electrode and free magnet for improved magnetic memory ,Intel Corporation,"Tanay Gosavi, Sasikanth Manipatruni, Kaan Oguz, Ian Young, Dmitri Nikonov, Chia-Ching Lin",2018-04-02,2018-04-02,2023-02-07,2023-02-07,https://patents.google.com/patent/US11575083B2/en,https://patentimages.storage.googleapis.com/f5/0d/f1/dbb5ffd28776c3/US11575083-20230207-D00000.png
US-9990943-B2,Texture-control layer for spin torque oscillator ,"Western Digital Technologies, Inc.","Susumu Okamura, Yo Sato, Keiichi Nagasaka, Masashige Sato",2015-11-25,2017-08-01,2018-06-05,2018-06-05,https://patents.google.com/patent/US9990943B2/en,https://patentimages.storage.googleapis.com/a2/34/69/60b92c4994c198/US09990943-20180605-D00000.png
US-10037772-B2,Low magnetic flux density interface layer for spin torque oscillator ,"Western Digital Technologies, Inc.","Susumu Okamura, Masashige Sato, Keiichi Nagasaka, Yo Sato",2016-06-28,2017-09-25,2018-07-31,2018-07-31,https://patents.google.com/patent/US10037772B2/en,https://patentimages.storage.googleapis.com/b0/53/b4/f8b6757655a322/US10037772-20180731-D00000.png
US-10109302-B1,"Magnetic recording head with spin torque oscillator, head gimbal assembly and magnetic recording apparatus ",Tdk Corporation,"Tetsuhito SHINOHARA, Tetsuya Roppongi, Naomichi Degawa",2017-07-18,2017-07-18,2018-10-23,2018-10-23,https://patents.google.com/patent/US10109302B1/en,https://patentimages.storage.googleapis.com/e9/9d/b2/5c2b762bcccff1/US10109302-20181023-D00000.png
US-10573366-B2,Unidirectional spin torque transfer magnetic memory cell structure and methods of programming the same ,"Micron Technology, Inc.","Jun Liu, Gurtej Sandhu",2008-09-30,2018-10-18,2020-02-25,2020-02-25,https://patents.google.com/patent/US10573366B2/en,https://patentimages.storage.googleapis.com/72/1e/75/b209291eff021f/US10573366-20200225-D00000.png
US-10032470-B1,"Magnetic recording head with spin torque oscillator, head gimbal assembly and magnetic recording apparatus ",Tdk Corporation,"Naomichi Degawa, Tetsuhito SHINOHARA, Shinji Hara, Tetsuya Roppongi",2017-07-14,2017-07-14,2018-07-24,2018-07-24,https://patents.google.com/patent/US10032470B1/en,https://patentimages.storage.googleapis.com/79/6a/85/03c1e2796ea3ce/US10032470-20180724-D00000.png
US-11251365-B2,High blocking temperature spin orbit torque electrode ,Intel Corporation,"Tanay Gosavi, Sasikanth Manipatruni, Kaan Oguz, Ian Young, Kevin O'Brien, Gary Allen, Noriyuki Sato",2018-03-30,2018-03-30,2022-02-15,2022-02-15,https://patents.google.com/patent/US11251365B2/en,https://patentimages.storage.googleapis.com/7d/16/d3/5ab88567acc02f/US11251365-20220215-D00000.png
US-9064508-B1,Pile spin-torque oscillator with AF-mode oscillation for generating high AC-field in microwave-assisted magnetic recording ,HGST Netherlands B.V.,"Masato Shiimoto, Masukaza Igarashi, Masashige Sato",2014-03-17,2014-03-17,2015-06-23,2015-06-23,https://patents.google.com/patent/US9064508B1/en,https://patentimages.storage.googleapis.com/9f/7e/4b/94cad2fd7b5fa4/US09064508-20150623-D00000.png
US-9577653-B2,Quasi-linear spin torque nano-oscillators ,Cornell University,"Robert A. Buhrman, Oukjae Lee, Daniel C. Ralph",2013-01-14,2014-01-14,2017-02-21,2017-02-21,https://patents.google.com/patent/US9577653B2/en,https://patentimages.storage.googleapis.com/b4/2f/f9/6dde1fbbe7f2e5/US09577653-20170221-D00000.png
US-9355655-B1,Magnetic capping layer structure for a spin torque oscillator ,HGST Netherlands B.V.,"Yuta Udo, Mikito Sugiyama, Katsuro Watanabe, Masashi Hattori, Nobuo Yoshida, Kimitoshi Etoh",2015-08-04,2015-08-04,2016-05-31,2016-05-31,https://patents.google.com/patent/US9355655B1/en,https://patentimages.storage.googleapis.com/3e/26/de/6bcf233f604239/US09355655-20160531-D00000.png
US-7616412-B2,Perpendicular spin-torque-driven magnetic oscillator ,Carnegie Melon University,"Xiaochun Zhu, Jian-Gang Zhu",2006-07-21,2006-07-21,2009-11-10,2009-11-10,https://patents.google.com/patent/US7616412B2/en,https://patentimages.storage.googleapis.com/86/da/c3/28912d75e70c81/US07616412-20091110-D00000.png
