search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11216150-B2,Pervasive 3D graphical user interface with vector field functionality ,Wen-Chieh Geoffrey Lee,Wen-Chieh Geoffrey Lee,2019-06-28,2019-06-28,2022-01-04,2022-01-04,https://patents.google.com/patent/US11216150B2/en,https://patentimages.storage.googleapis.com/e9/fd/da/1a2b6cdc9efc60/US11216150-20220104-D00000.png
US-11536574-B2,System and method for acceleration-based vector field maps ,Intel Corporation,"Javier Felip Leon, Ignacio J. Alvarez, Maria Soledad Elli, David I. Gonzalez Aguirre, Javier Turek",2019-12-27,2019-12-27,2022-12-27,2022-12-27,https://patents.google.com/patent/US11536574B2/en,https://patentimages.storage.googleapis.com/47/ea/26/f38d68130a01e6/US11536574-20221227-D00000.png
US-11125769-B2,Wind vector field measurement system ,Wind Farm Analytics Ltd,Theodore Cosmo Holtom,2015-09-13,2016-09-13,2021-09-21,2021-09-21,https://patents.google.com/patent/US11125769B2/en,https://patentimages.storage.googleapis.com/fd/f3/9b/40a724583d6a40/US11125769-20210921-D00000.png
US-11429081-B2,Toolpath topology design method based on vector field in sub-regional processing for curved surface ,Dalian University Of Technology,"Jianwei Ma, Zhenyuan JIA, Xiao Lu, Wenwen JIANG, Xiaoxuan Zhao, Wei Liu, Likun SI",2018-12-17,2019-08-19,2022-08-30,2022-08-30,https://patents.google.com/patent/US11429081B2/en,https://patentimages.storage.googleapis.com/07/7a/ad/453ab72318ad5d/US11429081-20220830-D00000.png
US-8736767-B2,Efficient motion vector field estimation ,"Sharp Laboratories Of America, Inc.",Petrus J. L. Van Beek,2010-09-29,2010-09-29,2014-05-27,2014-05-27,https://patents.google.com/patent/US8736767B2/en,https://patentimages.storage.googleapis.com/ac/cf/43/3a6bbbd3fb8d87/US08736767-20140527-D00000.png
US-8411757-B2,"Apparatus, and associated method, for forming a compressed motion vector field utilizing predictive motion coding ",Nokia Corporation,"Marta Karczewicz, Jani Lainema, Bogdan-Paul Dobrin",1999-08-11,2006-12-12,2013-04-02,2013-04-02,https://patents.google.com/patent/US8411757B2/en,https://patentimages.storage.googleapis.com/38/72/4f/dc23e686893ecd/US08411757-20130402-D00000.png
US-8858437-B2,Method of transforming a doppler velocity dataset into a velocity vector field ,"Tomtec Imaging Systems Gmbh, Amid S.R.L.","Gianni Pedrizzetti, Giovanni Tonti",2011-04-18,2012-04-18,2014-10-14,2014-10-14,https://patents.google.com/patent/US8858437B2/en,https://patentimages.storage.googleapis.com/32/78/ab/a24ad942c75863/US08858437-20141014-D00000.png
US-8254444-B2,System and method for phase adaptive occlusion detection based on motion vector field in digital video ,"Samsung Electronics Co., Ltd.",Mahesh Chappalli,2007-05-14,2007-05-14,2012-08-28,2012-08-28,https://patents.google.com/patent/US8254444B2/en,https://patentimages.storage.googleapis.com/4c/d9/20/2872ed198dc848/US08254444-20120828-D00000.png
US-8706455-B2,Methods and apparatus for calculating electromagnetic scattering properties of a structure using a normal-vector field and for reconstruction of approximate structures ,Asml Netherlands B.V.,"Martijn Constant VAN BEURDEN, Irwan Dani Setija, Remco Dirks",2009-10-22,2010-10-15,2014-04-22,2014-04-22,https://patents.google.com/patent/US8706455B2/en,https://patentimages.storage.googleapis.com/c4/c2/c3/c2e91e259019ea/US08706455-20140422-D00000.png
US-9336591-B2,Integration of user inputs and correction of deformation vector field in deformable image registration workflow ,Koninklijke Philips N.V.,"Yogisha Mallya, Karl Antonin Bzdusek",2011-08-30,2012-08-16,2016-05-10,2016-05-10,https://patents.google.com/patent/US9336591B2/en,https://patentimages.storage.googleapis.com/5e/26/a2/cb96254b9ac6f4/US09336591-20160510-D00000.png
