search URL:,https://patents.google.com/?q=%28%22wafer+inspection+equipment%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11609261-B2,Wafer inspection system and wafer inspection equipment thereof ,Chroma Ate Inc.,"Wei-Chih Chen, Ben-Mou Yu, Yi-Yen Lin",2020-08-03,2021-06-03,2023-03-21,2023-03-21,https://patents.google.com/patent/US11609261B2/en,https://patentimages.storage.googleapis.com/54/63/f7/eedce8e72977b9/US11609261-20230321-D00000.png
US-7656176-B2,"Probe member for wafer inspection, probe card for wafer inspection and wafer inspection equipment ",Jsr Corporation,"Mutsuhiko Yoshioka, Hitoshi Fujiyama, Hisao Igarashi",2004-10-29,2005-10-27,2010-02-02,2010-02-02,https://patents.google.com/patent/US7656176B2/en,https://patentimages.storage.googleapis.com/20/c4/e4/69d7168ffadbfd/US07656176-20100202-D00000.png
US-10274519-B2,Wafer inspection equipment having laser cleaning function ,"Imt Co., Ltd.","Jong Myoung Lee, Kyu Pil LEE, Seong Ho JO",2014-12-23,2015-11-09,2019-04-30,2019-04-30,https://patents.google.com/patent/US10274519B2/en,https://patentimages.storage.googleapis.com/76/a5/b5/43ebbf248ec84e/US10274519-20190430-D00000.png
US-5995218-A,Method for inspecting defects of wafer and inspection equipment thereof ,Nec Corporation,Takashi Ide,1997-01-17,1998-01-15,1999-11-30,1999-11-30,https://patents.google.com/patent/US5995218A/en,https://patentimages.storage.googleapis.com/99/a6/c2/0933e78668b4ed/US5995218-drawings-page-2.png
US-6974710-B2,Fabrication method of semiconductor integrated circuit device and testing method ,"Renesas Technology Corp., Hitachi Hokkai Semiconductor, Ltd.",Tomohiro Taira,2001-03-16,2003-09-26,2005-12-13,2005-12-13,https://patents.google.com/patent/US6974710B2/en,https://patentimages.storage.googleapis.com/26/e4/05/1889ca7d5863ac/US06974710-20051213-D00000.png
US-10923405-B2,Wafer processing equipment having capacitive micro sensors ,"Applied Materials, Inc.","Leonard TEDESCHI, Kartik Ramaswamy, Daniel Thomas McCormick, Robert Paul Meagley",2016-06-20,2018-08-29,2021-02-16,2021-02-16,https://patents.google.com/patent/US10923405B2/en,https://patentimages.storage.googleapis.com/2c/a6/1d/83bba004de7c4a/US10923405-20210216-D00000.png
US-10062160-B2,Pattern weakness and strength detection and tracking during a semiconductor device fabrication process ,Anchor Semiconductor Inc.,"Khurram Zafar, Chenmin Hu, Ye Chen, Yue Ma, Chingyun Hsiang, Justin Chen, Raymond Xu, Abhishek Vikram, Ping Zhang",2015-04-13,2017-09-20,2018-08-28,2018-08-28,https://patents.google.com/patent/US10062160B2/en,https://patentimages.storage.googleapis.com/81/11/ba/115e15a2edfffd/US10062160-20180828-D00000.png
US-10720757-B1,Method of manufacture for an ultraviolet laser diode ,"Soraa Lase Diode, Inc.","James W. RARING, Melvin McLaurin, Paul Rudy, Po Shan Hsu, Alexander Sztein",2014-11-06,2018-12-12,2020-07-21,2020-07-21,https://patents.google.com/patent/US10720757B1/en,https://patentimages.storage.googleapis.com/c5/92/e5/482a7bf00dfc2a/US10720757-20200721-D00000.png
US-10029363-B2,Dual arm robot ,"Brooks Automation, Inc.",Izya Kremerman,2002-05-09,2015-02-09,2018-07-24,2018-07-24,https://patents.google.com/patent/US10029363B2/en,https://patentimages.storage.googleapis.com/2f/41/5b/aa3d40c1005580/US10029363-20180724-D00000.png
US-9214331-B2,Substrate processing method and substrate processing apparatus ,"SCREEN Holdings Co., Ltd.","Katsuhiko Miya, Naozumi Fujiwara",2011-01-06,2011-12-01,2015-12-15,2015-12-15,https://patents.google.com/patent/US9214331B2/en,https://patentimages.storage.googleapis.com/30/7c/e5/906c5cbf43b0d6/US09214331-20151215-D00000.png
